Product Code,Description,Selling Group
SB1,MUTTON B1,Mutton B/C1
SC1,MUTTON C1,Mutton B/C1
,,
SB2,MUTTON B2,Mutton B/C2-3
SB3,MUTTON B3,Mutton B/C2-3
SC2,MUTTON C2,Mutton B/C2-3
SC3,MUTTON C3,Mutton B/C2-3
,,
SB4,MUTTON B4,Mutton B/C4-6
SB5,MUTTON B5,Mutton B/C4-6
SB6,MUTTON B6,Mutton B/C4-6
SC4,MUTTON C4,Mutton B/C4-6
SC5,MUTTON C5,Mutton B/C4-6
SC6,MUTTON C6,Mutton B/C4-6
,,
SAB0R,MUTTON AB0 RAM,Rams AB0
,,
SAB1R,MUTTON AB1 RAM,Rams AB1
,,
SAB2R,MUTTON AB2 RAM,Rams AB2-3
SAB3R,MUTTON AB3 RAM,Rams AB2-3
,,
SAB4R,MUTTON AB4 RAM,Rams AB4-6
SAB5R,MUTTON AB5 RAM,Rams AB4-6
SAB6R,MUTTON AB6 RAM,Rams AB4-6
,,
SB0R,MUTTON B0 RAM,Rams B/C0
SC0R,MUTTON C0 RAM,Rams B/C0
,,
SB1R,MUTTON B1 RAM,Rams B/C1-6
SB2R,MUTTON B2 RAM,Rams B/C1-6
SB3R,MUTTON B3 RAM,Rams B/C1-6
SB4R,MUTTON B4 RAM,Rams B/C1-6
SB5R,MUTTON B5 RAM,Rams B/C1-6
SB6R,MUTTON B6 RAM,Rams B/C1-6
SC1R,MUTTON C1 RAM,Rams B/C1-6
SC2R,MUTTON  C2 RAM,Rams B/C1-6
SC3R,MUTTON C3 RAM,Rams B/C1-6
SC4R,MUTTON C4 RAM,Rams B/C1-6
SC5R,MUTTON C5 RAM,Rams B/C1-6
SC6R,MUTTON C6 RAM,Rams B/C1-6
